id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
6241207,6352406,28.0,f,1.0,t,t,Vanløse,Entire bungalow,Entire home/apt,6,2 baths,4.0,1300.0,3,1125,230,102,4.88,f,0.99
903291738270753635,26046958,50.0,f,4.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,6,1 bath,2.0,1100.0,2,12,1,6,5.0,f,1.1
30973675,80953279,25.0,f,2.0,t,f,Amager Vest,Entire villa,Entire home/apt,3,1 bath,3.0,1471.0,6,14,176,1,5.0,f,0.06
908711618127126498,96621960,89.0,f,4.0,t,f,Brønshøj-Husum,Entire home,Entire home/apt,5,2 baths,4.0,1160.0,4,365,7,1,5.0,t,0.19
51464672,131733904,50.0,f,1.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,4,1 bath,2.0,1320.4675313807531,5,30,0,11,4.91,f,0.38
547317,2690982,82.0,f,7.0,t,f,Amager Vest,Entire rental unit,Entire home/apt,4,2 baths,1.0,4590.0,2,1125,361,6,4.6,f,0.04
922462228334836186,522170179,50.0,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,2,1 bath,1.0,980.0,4,21,14,0,4.818525443935496,f,0.7332381191537447
813734539283851726,234763805,100.0,f,1.0,t,t,Valby,Entire rental unit,Entire home/apt,3,1 bath,1.0,1320.4675313807531,1,1125,0,1,5.0,f,0.1
814235063633048739,16843129,39.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,643.0,2,7,0,8,5.0,f,1.05
709392106669212751,24259996,100.0,f,1.0,t,t,Indre By,Entire rental unit,Entire home/apt,2,1 bath,1.0,1200.0,2,365,93,10,5.0,f,0.66
952156360212287792,58083268,80.0,f,2.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,6,2 baths,3.0,2573.0,3,28,62,4,5.0,f,0.98
652621274736546268,413348594,58.0,t,1.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,2,1 bath,1.0,1225.0,4,365,15,10,4.8,f,0.71
689750842034320222,474156444,75.0,f,1.0,t,t,Bispebjerg,Entire condo,Entire home/apt,2,1 bath,2.0,950.0,2,365,365,22,4.73,f,2.32
603316765014846517,15280415,100.0,f,2.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,7,365,0,5,5.0,f,0.24
37546135,281506963,67.0,f,1.0,t,t,Valby,Entire rental unit,Entire home/apt,2,1 bath,1.0,850.0,3,1125,0,17,4.71,f,0.32
